42900, [2, 4, 6, 8], []
200, [2, 4, 6, 8], []
200, [2, 4, 6, 8], []
300, [2, 4, 6, 8], []
400, [2, 4, 6, 8], []
500, [2, 4, 6, 8], []
600, [2, 4, 6, 8], []
700, [2, 4, 6, 8], []
800, [2, 4, 6, 8], []
900, [2, 4, 6, 8], []
1100, [2, 4, 6, 8], []
1100, [2, 4, 6, 8], []
1200, [2, 4, 6, 8], []
1300, [2, 4, 6, 8], []
1400, [2, 4, 6, 8], []
1600, [2, 4, 6, 8], []
1600, [2, 4, 6, 8], []
1700, [2, 4, 6, 8], []
1800, [2, 4, 6, 8], []
1900, [2, 4, 6, 8], []
2000, [2, 4, 6, 8], []
2100, [2, 4, 6, 8], []
2200, [2, 4, 6, 8], []
2300, [2, 4, 6, 8], []
2400, [2, 4, 6, 8], []
2500, [2, 4, 6, 8], []
2600, [2, 4, 6, 8], []
2700, [2, 4, 6, 8], []
2800, [2, 4, 6, 8], []
2900, [2, 4, 6, 8], []
3000, [2, 4, 6, 8], []
3100, [2, 4, 6, 8], []
3200, [2, 4, 6, 8], []
3300, [2, 4, 6, 8], []
3500, [2, 4, 6, 8], []
3500, [2, 4, 6, 8], []
3600, [2, 4, 6, 8], []
3700, [2, 4, 6, 8], []
3800, [2, 4, 6, 8], []
3900, [2, 4, 6, 8], []
4000, [2, 4, 6, 8], []
4100, [2, 4, 6, 8], []
4200, [2, 4, 6, 8], []
4300, [2, 4, 6, 8], []
4400, [2, 4, 6, 8], []
4500, [2, 4, 6, 8], []
4600, [2, 4, 6, 8], []
4700, [2, 4, 6, 8], []
4800, [2, 4, 6, 8], []
4900, [2, 4, 6, 8], []
5000, [2, 4, 6, 8], []
5200, [2, 4, 6, 8], []
5200, [2, 4, 6, 8], []
5300, [2, 4, 6, 8], []
5400, [2, 4, 6, 8], []
5500, [2, 4, 6, 8], []
5600, [2, 4, 6, 8], []
5700, [2, 4, 6, 8], []
5800, [2, 4, 6, 8], []
